title,link_mal,release_date,anime_episode,anime_duration,anime_genre,img_link,description,studio,source,show_type
Yuuki Bakuhatsu Bang Bravern,https://myanimelist.net/anime/55528/Yuuki_Bakuhatsu_Bang_Bravern,"Jan 11, 2024",12 eps,23 min ,"['Action', 'Comedy', 'Sci-Fi']",,"In a world where humanoid armored weapons known as “Titatonostrider” (“TS” for short) are used in warfare. Troops from various countries converge on the island of Oahu, Hawaii, including Ao Isami of the Japan Ground Self-Defense Force and Lewis Smith of the United States Marine Corps. Isami and Smith cross paths during battle, but suddenly their teams are attacked by an unknown enemy, scattering soldiers and sending their forces into disarray. In order to save their friends and survive on the deadly battlefield, they must fight with every ounce of courage and pride that they can muster.

(Source: Crunchyroll News)",CygamesPictures,Original,TV
Meiji Gekken: 1874,https://myanimelist.net/anime/57502/Meiji_Gekken__1874,"Jan 14, 2024",? eps,25 min ,['Action'],,"Year 1874. Shizuma Origasa, once a samurai of the Aizu Domain and now working as a rickshaw puller, embarks on a quest to locate his missing fiancée, Sumie Kanomata. However, an unexpected turn of events thrusts him into the ranks of the newly established police force, entangling him in the pursuit of a conspiracy aiming to topple the government.

Simultaneously, the Moriya yakuza clan welcomes a guest, Kyoushirou Shuragami, a proficient swordsman. Within the clan, which is linked to the mastermind orchestrating the government overthrow, Kyoushirou strategically positions himself for personal gain.

This sets the stage for the unfolding drama of destiny between Shizuma and Kyoushirou, where ironic encounters and separations await Shizuma in the course of his journey.

(Source: MAL News)",Tsumugi Akita Animation Lab,Original,TV
Hikari no Ou 2nd Season,https://myanimelist.net/anime/54754/Hikari_no_Ou_2nd_Season,"Jan 14, 2024",? eps,24 min ,['Fantasy'],,Second season of Hikari no Ou.,Signal.MD,Light novel,TV
Gekkan Mousou Kagaku,https://myanimelist.net/anime/56691/Gekkan_Mousou_Kagaku,"Jan 11, 2024",12 eps,23 min ,"['Comedy', 'Fantasy']",,"Gekkan Mousou Kagaku is set in Most City in an unknown country in a small publishing house that prints a monthly magazine about the most outlandish of things. Everything changes when the staff of the magazine, editor-in-chief Tarou, his assistant Jirou and dog Saburou, meet with scientist Gorou Satou...

(Source: Crunchyroll)",OLM,Original,TV
Snack Basue,https://myanimelist.net/anime/55636/Snack_Basue,"Jan 13, 2024",13 eps,23 min ,['Comedy'],,"Located five stations away from Hokkaido's largest downtown area Susukino. A fun shop called ""Snack Bus"" can be found run by mama Basue and mama Akemi. Filled with the laughter of the girls and their unusual regulars, you'll be smiling along with them before you know it. 

(Official Site, translated)",Studio PuYUKAI,Manga,TV
Chou Futsuu Ken Chiba Densetsu,https://myanimelist.net/anime/54197/Chou_Futsuu_Ken_Chiba_Densetsu,"Jan 5, 2024",? eps,4 min ,"['Comedy', 'Fantasy']",,"In the seemingly ordinary Prefecture Chiba, where life moves at its own relaxed pace, meet Shikawa Ako—a high school student with an unremarkable existence. Little does she know, the humdrum days of Chiba are about to get a hilarious twist. In 'The Legend of Super Normal Prefecture Chiba,' Ako inadvertently becomes the epicenter of a comedic storm that turns the 'ordinary' into the spectacularly absurd.",Super Normal Studio,Original,TV
Yami Shibai 12,https://myanimelist.net/anime/57180/Yami_Shibai_12,"Jan 15, 2024",? eps,4 min ,"['Avant Garde', 'Horror', 'Supernatural']",,Twelfth season of Yami Shibai.,ILCA,Original,TV
Wonderful Precure!,https://myanimelist.net/anime/57390/Wonderful_Precure,"Feb 4, 2024",? eps,23 min ,"['Action', 'Fantasy']",,"The Wonderful Precure! anime is set in Animal Town, a town where animals and people live together in harmony. Second-year junior high school student Iroha Inukai is best friends with her dog named Komugi. Out for a walk one day, Iroha and Komugi encounter a mysterious creature named Gargal, who goes on a rampage in the city. Komugi suddenly transforms into a Pretty Cure named Cure Wonderful, to protect Iroha.

(Source: ANN)",Toei Animation,Original,TV
Cardfight!! Vanguard: Divinez,https://myanimelist.net/anime/54142/Cardfight_Vanguard__Divinez,"Jan 13, 2024",? eps,24 min ,['Action'],,Sixth season of Cardfight!! Vanguard: D Series.,GIFTanimation,Original,TV
Harimaware! Koinu,https://myanimelist.net/anime/57012/Harimaware_Koinu,"Jan 6, 2024",? eps,5 min ,['Comedy'],,"The story of the series follows Koinu, a serious-minded dog who goes to work one day only to find that his company has gone bankrupt. At a loss, Koinu takes a job from a mysterious recruitment agent and is hired to paste dog stickers all over the city. Even though he doesn't understand the purpose of this strange assignment, Koinu works hard every day at his new employment.

(Source: Crunchyroll)",Opera House,Manga,TV
Shinobanai! Crypto Ninja Sakuya 2nd Season,https://myanimelist.net/anime/57605/Shinobanai_Crypto_Ninja_Sakuya_2nd_Season,"Jan 11, 2024",? eps,3 min ,['Action'],,(No synopsis yet.),Fanworks,Other,TV
Colorful na Everyday,https://myanimelist.net/anime/57522/Colorful_na_Everyday,"Dec 19, 2023",26 eps,2 min ,['Comedy'],,"The original essay manga whimsically depicts Mumei's childhood memories and daily life, such as ""if a stupid grade school student got a manicure at school…,"" ""the story of when my first armpit hair sprouted,"" and ""a Filipino mom whacking a melonpan bun like a baseball.""

(Source: ANN)",,Web manga,TV
Enjou Bokumetsu! Mahou Shoujo Aiko,https://myanimelist.net/anime/57950/Enjou_Bokumetsu_Mahou_Shoujo_Aiko,"Jan 11, 2024",? eps,4 min ,['Comedy'],,(No synopsis yet.),,Original,TV
Sakuretsu! Amabie-hime. Season 3,https://myanimelist.net/anime/57881/Sakuretsu_Amabie-hime_Season_3,"Jan 14, 2024",? eps,3 min ,['Comedy'],,The third season of Sakuretsu! Amabie-hime.,CANON RECORDINGS,Original,TV
One Piece,https://myanimelist.net/anime/21/One_Piece,"Oct 20, 1999",? eps,24 min ,"['Action', 'Adventure', 'Fantasy']",,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it.

The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many.

As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure.

[Written by MAL Rewrite]",Toei Animation,Manga,TV
Sousou no Frieren,https://myanimelist.net/anime/52991/Sousou_no_Frieren,"Sep 29, 2023",28 eps,24 min ,"['Adventure', 'Drama', 'Fantasy']",,"During their decade-long quest to defeat the Demon King, the members of the hero's party—Himmel himself, the priest Heiter, the dwarf warrior Eisen, and the elven mage Frieren—forge bonds through adventures and battles, creating unforgettable precious memories for most of them.

However, the time that Frieren spends with her comrades is equivalent to merely a fraction of her life, which has lasted over a thousand years. When the party disbands after their victory, Frieren casually returns to her ""usual"" routine of collecting spells across the continent. Due to her different sense of time, she seemingly holds no strong feelings toward the experiences she went through.

As the years pass, Frieren gradually realizes how her days in the hero's party truly impacted her. Witnessing the deaths of two of her former companions, Frieren begins to regret having taken their presence for granted; she vows to better understand humans and create real personal connections. Although the story of that once memorable journey has long ended, a new tale is about to begin.

[Written by MAL Rewrite]",Madhouse,Manga,TV
Meitantei Conan,https://myanimelist.net/anime/235/Meitantei_Conan,"Jan 8, 1996",? eps,25 min ,"['Adventure', 'Comedy', 'Mystery']",,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child.

Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa.

Detective Conan follows Shinichi who, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday.

[Written by MAL Rewrite]",TMS Entertainment,Manga,TV
Kusuriya no Hitorigoto,https://myanimelist.net/anime/54492/Kusuriya_no_Hitorigoto,"Oct 22, 2023",24 eps,22 min ,"['Drama', 'Mystery']",,"Maomao, an apothecary's daughter, has been plucked from her peaceful life and sold to the lowest echelons of the imperial court. Now merely a maid, Maomao settles into her new mundane life and hides her extensive knowledge of medicine in order to avoid any unwanted attention.

Not long after Maomao's arrival, the emperor's infant children inexplicably begin to experience grave symptoms—almost as if a curse has been cast. The curious Maomao easily solves the mystery and, to remain out of the limelight, attempts to leave an anonymous tip. Unfortunately, the dashing and perceptive eunuch Jinshi sees through it and manages to single her out.

In recognition of her talent, Maomao is promoted to lady-in-waiting for the emperor's favorite concubine, Gyokuyou. As Maomao continues to remedy the numerous ailments afflicting the imperial court, her pharmaceutical expertise quickly proves indispensable.

[Written by MAL Rewrite]",OLM,Light novel,TV
Undead Unluck,https://myanimelist.net/anime/52741/Undead_Unluck,"Oct 7, 2023",24 eps,23 min ,"['Action', 'Comedy', 'Fantasy']",,"With the conclusion of her favorite romance manga, Fuuko Izumo is ready to end her life of misery and loneliness having long accepted her fate of never being able to experience passionate love like fictional characters. Cursed with ""unluck,"" anyone Fuuko touches is in grave danger of experiencing unimaginable calamity.

While the possibility of imminent danger would have most sane people run in the opposite direction, Undead has other ideas. He is an immortal being with superhuman regenerative powers desperately seeking death, which has always eluded him. When their paths finally cross, Undead sees an opportunity to finally end his suffering by using Fuuko's unluck.

But before Undead can unlock the full potential of Fuuko's power to trigger the final devastating blow, the duo must first fend off a murderous secret organization hell-bent on exterminating those with special abilities.

[Written by MAL Rewrite]",David Production,Manga,TV
"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su",https://myanimelist.net/anime/52347/Shangri-La_Frontier__Kusoge_Hunter_Kamige_ni_Idoman_to_su,"Oct 1, 2023",25 eps,25 min ,"['Action', 'Adventure', 'Fantasy']",,"High school student Rakurou Hizutome has a peculiar hobby of playing poorly made games—ones that are unbalanced or are filled with so many bugs that make them borderline unplayable. The few who share his hobby might recognize him by his in-game name, Sunraku. For his next game, Rakurou is recommended Shangri-La Frontier, a popular and well-received virtual reality game as a breather from the terrible games he has been playing recently.

Once he boots up the game, Rakurou decides to sell off most of his starting gear to gain extra money, leaving himself with only a pair of boxers, a bird mask, and some weapons. He is instantly hooked as he meticulously levels up his avatar. However, after encountering some intimidating monsters, he realizes that he may have underestimated the challenge that a mainstream game can offer. As Rakurou progresses, he must draw on all the skills he has perfected from his previous gaming experience. Before long, Sunraku's eccentric playstyle takes Shangri-La Frontier by storm.

[Written by MAL Rewrite]",C2C,Manga,TV
Ragna Crimson,https://myanimelist.net/anime/51297/Ragna_Crimson,"Oct 1, 2023",24 eps,24 min ,"['Action', 'Fantasy']",,"Said to be humanity's natural enemy, formidable dragons that belong to an ancient bloodline roam the world. Only two ways prove effective to kill a dragon: freezing their blood with silverine—an aura that comes from silver weapons—or letting their bodies be incinerated by sunlight.

Young hunter prodigy Leonica is accompanied by her close friend Ragna, who appears to lack the skills necessary in their profession. Moreover, many shun Ragna, considering him cursed because dragons always seem to attack him and slaughter his close ones. Nevertheless, Leonica sees potential in Ragna and gladly partners up with him. Likewise, Ragna feels certain that Leonica is immune to his misfortune thanks to her incredible strength.

His confidence is shaken, however, when Ragna dreams of Leonica's death, believing this to be a prophecy. As the destined day arrives, he comes face-to-face with his future self, who bestows him enormous power and memories from the future to ensure Leonica's safety. In order to succeed, Ragna must join forces with a mysterious figure known as Crimson and eradicate all dragons for good.

[Written by MAL Rewrite]",SILVER LINK.,Manga,TV
Crayon Shin-chan,https://myanimelist.net/anime/966/Crayon_Shin-chan,"Apr 13, 1992",? eps,21 min ,"['Comedy', 'Ecchi']",,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon.

Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with.

[Written by MAL Rewrite]",Shin-Ei Animation,Manga,TV
Nanatsu no Taizai: Mokushiroku no Yonkishi,https://myanimelist.net/anime/51794/Nanatsu_no_Taizai__Mokushiroku_no_Yonkishi,"Oct 8, 2023",24 eps,23 min ,"['Action', 'Adventure', 'Fantasy']",,"Percival has always lived with his grandfather on God's Finger, a remote haven that sits high above the clouds. And though he loves the simple life, he secretly longs for adventure. But Percival's life is changed forever when an intruder—who shares a shocking connection with him—tears away everything he's ever known.

With nothing left to do but chase down the one who took everything from him, Percival sets out on his own. During his journey, the sheltered boy discovers that there are a lot of things he doesn't know about normal life. Luckily, he meets friends along the way who can help him get by—but how will they react when they find out about Percival's destiny... and how it's connected to the end of the world?

(Source: Kodansha USA)",Telecom Animation Film,Manga,TV
Buta no Liver wa Kanetsu Shiro,https://myanimelist.net/anime/50583/Buta_no_Liver_wa_Kanetsu_Shiro,"Oct 8, 2023",12 eps,24 min ,"['Adventure', 'Fantasy']",,"An arrogant scientist awakens in the middle of a muddy pigpen, and the last thing he remembers is eating a raw pig liver and collapsing in the subway. He quickly gathers that he has turned into a pig and is now in a strange fantasy land. As he struggles to grasp reality, a young girl named Jess comes to his aid. Jess happens to be a Yesma—a discriminated class of servants distinguished by their telepathic abilities and the silver collars around their necks. Despite his inappropriate thoughts about her, Jess makes sacrifices for his sake, and the pig resolves to repay her the best he can within the limits of his new body.

But Jess' generosity does not absolve her from the prejudice the Yesmas face daily, and the pig begins to suspect that Jess is in greater danger than she thinks. While he wants to visit the royal capital and beg the king to change him back into a human, the pig realizes that he cannot simply turn his back on his kind savior.

[Written by MAL Rewrite]",Project No.9,Light novel,TV
Megumi no Daigo: Kyuukoku no Orange,https://myanimelist.net/anime/53848/Megumi_no_Daigo__Kyuukoku_no_Orange,"Sep 30, 2023",24 eps,23 min ,"['Action', 'Drama']",,"In Tokyo Fire Department's Fire Academy, a talented new rookie is excelling in the strict and grueling rescue training. With high proficiency in both physical and mental categories, Daigo Toake is envied by one of his peers, Shun Onoda. Despite feeling a growing sense of rivalry, Shun recognizes that a part of his jealousy stems from his admiration for Daigo, and that they will eventually work together for the same noble goal of rescuing people.

At the same time, Yuki Nakamura is the only woman among the current batch of recruits. She believes that she will not be outclassed in this male-dominated profession. As the fates of the three newbies intertwine, they may soon realize that the intensity of a real disaster is nowhere near what they have experienced in training. Even so, the heroes in orange will always shine brighter than any fire, saving those in need.

[Written by MAL Rewrite]",Brain's Base,Manga,TV
Captain Tsubasa Season 2: Junior Youth-hen,https://myanimelist.net/anime/54803/Captain_Tsubasa_Season_2__Junior_Youth-hen,"Oct 1, 2023",39 eps,22 min ,['Sports'],,The second season of Captain Tsubasa (2018).,Studio Kai,Manga,TV
Sazae-san,https://myanimelist.net/anime/2406/Sazae-san,"Oct 5, 1969",? eps,24 min ,"['Comedy', 'Slice of Life']",,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. 

(Source: AniDB)",Eiken,4-koma manga,TV
Chibi Maruko-chan (1995),https://myanimelist.net/anime/6149/Chibi_Maruko-chan_1995,"Jan 8, 1995",? eps,23 min ,"['Comedy', 'Slice of Life']",,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life.

(Source: ANN)",Nippon Animation,Manga,TV
Dog Signal,https://myanimelist.net/anime/54294/Dog_Signal,"Oct 22, 2023",20 eps,25 min ,['Slice of Life'],,"After his girlfriend Yuuko breaks up with him, Miyu Samura's luck is at an all-time low. But one day several months later, she reappears and gives Miyu a toy poodle she supposedly cannot take care of. Miyu's knowledge of dogs is nonexistent, and the puppy's rowdiness leaves him in danger of being evicted from his own home. 

When Miyu decides to take the puppy on a walk, he has a chance encounter with professional dog trainer Shinichirou Niwa and Niwa's well-behaved standard poodle Ourson. In just a matter of minutes, Niwa not only corrects the attitude of Miyu's dog, but also gives Miyu himself stern advice on how to treat his pet properly. Amazed by Niwa's techniques, Miyu decides to quit his job in order to become the trainer's assistant; however, Niwa is not as skillful in dealing with humans as he is with their canine companions. Even so, Miyu refuses to give up on Niwa and his failing business.

[Written by MAL Rewrite]",Fugaku,Manga,TV
Yu☆Gi☆Oh! Go Rush!!,https://myanimelist.net/anime/50607/Yu☆Gi☆Oh_Go_Rush,"Apr 3, 2022",? eps,24 min ,"['Action', 'Fantasy']",,"After inheriting the company from their parents, siblings Yuuhi and Yuamu Oudou have started to work at Ultraterrestrial Trouble Solutions, an organization that hunts aliens. Although they have never encountered aliens before, Yuuhi is desperate to meet one as he believes that an alien has stolen his important item called the ""Earthdamar.""

One day, while searching for extraterrestrial creatures, Yuuhi and Yuamu find a strange spot in the forest where many trees have fallen, forming a scenery similar to a crop circle. As they venture further, they discover a mysterious spaceship and enter it out of curiosity. To their surprise, they come across Yudias Velgear, an alien from the Velgear Star Cluster. As it turns out, Yudias is seeking to learn about Rush Duel—a card game popular among elementary school students—as he believes that it will save his home from a long war.

With the siblings agreeing to teach Yudias about Rush Duel, they eventually realize that their first contact with an alien may not be a random coincidence.

[Written by MAL Rewrite]
",Bridge,Card game,TV
Tousouchuu: Great Mission,https://myanimelist.net/anime/54040/Tousouchuu__Great_Mission,"Apr 2, 2023",49 eps,23 min ,"['Sci-Fi', 'Suspense']",,"The anime series is set in the future when humanity migrated to the Moon due to Earth's climate change. It will incorporate original elements unique to the anime, such as human drama about survival, and will feature a diverse field that blurs countries and eras such as Shibuya, the Edo-period era, and London.

(Source: MAL News, edited)",Toei Animation,Other,TV
Chiikawa,https://myanimelist.net/anime/50250/Chiikawa,"Apr 4, 2022",? eps,1 min ,['Comedy'],,"What's a Chiikawa? No one really knows, but everyone can see they're small, they're cute, and they're always having a fun time! Join them as they explore their surreal world with the sharp humor and clever antics that make the Chiikawa irresistible.

(Source: HIDIVE, edited)",Doga Kobo,Web manga,TV
Bonobono (TV 2016),https://myanimelist.net/anime/32353/Bonobono_TV_2016,"Apr 2, 2016",? eps,5 min ,"['Comedy', 'Slice of Life']",,"Based on the original comic BONO BONO by Mikio Igarashi that has seen over 9,000,000 total copies printed, this is the definitive animated version of the emotionally soothing character-driven series that will make you ask yourself the philosophical question, ""What are living things?"" while laughing at heartwarming gags and being entertained by the interactions of amusing forest friends Bonobono the young sea otter, Chipmunk, Fishing Cat, and more.

Enjoy the easygoing days and minor misadventures of Bonobono and his friends!

(Source: Fuji Creative)",Eiken,4-koma manga,TV
Ninjala (TV),https://myanimelist.net/anime/50418/Ninjala_TV,"Jan 8, 2022",? eps,23 min ,['Action'],,"The year is 20XX. The ninja, who once forged the history of Japan, were scattered across the country during the Meiji Restoration. As these ninja mingled with the other clans, their bloodline thinned, and they gradually faded from sight. The descendants of these ninja clans, seeking to preserve their heritage, formed the WNA (World Ninja Association) in the hope of carrying on their legacy.

And so it was that the WNA succeeded in developing Ninja-Gum, an art which could summon forth the strength of the Shinobi. And yet creating the most powerful Ninja-Gum requires the strongest of ninja DNA. So it was that the Ninjala Tournament was held, that the mightiest of all ninjas could be found... 

(Source: Official Game website)",OLM,Game,TV
Shikaru Neko,https://myanimelist.net/anime/48442/Shikaru_Neko,"Mar 22, 2021",? eps,0 min ,['Slice of Life'],,(No synopsis yet.),,Manga,TV
Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,https://myanimelist.net/anime/30151/Kamiusagi_Rope__Warau_Asa_ni_wa_Fukuraitaru_tte_Maji_ssuka,"Nov 16, 2012",? eps,2 min ,"['Comedy', 'Slice of Life']",,"Fourth season of Kamiusagi Rope, events occur after the feature film. Airs on Mezamashi TV instead of the theaters.",,Original,TV
Teikou Penguin,https://myanimelist.net/anime/50522/Teikou_Penguin,"Jan 5, 2022",? eps,5 min ,[],,"Centers on a penguin who works in an abusive company and gripes about the difficulties of workplace life. The title is a play on the ""koutei penguin,"" the Japanese name for the emperor penguin.

(Source: ANN)",,Manga,TV
Shiawase Haitatsu Taneko,https://myanimelist.net/anime/10506/Shiawase_Haitatsu_Taneko,"Mar 26, 2011",? eps,0 min ,['Comedy'],,"The story centers around a cat who answers people's wishes and delivers happiness. (""Tane"" and ""neko"" are the Japanese words for ""seed"" and ""cat,"" respectively.)

(Source: ANN)",Kachidoki Studio,Original,TV
Ochibi-san,https://myanimelist.net/anime/56588/Ochibi-san,"Oct 8, 2023",24 eps,5 min ,['Slice of Life'],,"""I can help you laugh, but I can't take away the tears you've shed."" In Mametsubu-cho, a town somewhere in the ancient Japanese city of Kamakura, Ochibi-san lives a relaxed, easy life. With his friend Nazeni the dog, Jack the naughty kitten, and Pankui the hungry dog, Ochibi-san's year in Mametsubu-cho is filled with encounters and new discoveries! Flower-viewing in spring, swimming in summer, collecting leaves in fall, and eating yummy food in winter.

(Source: Crunchyroll)",Khara,Manga,TV
Kirin the Noop,https://myanimelist.net/anime/35694/Kirin_the_Noop,"Feb 6, 2014",? eps,5 min ,['Adventure'],,A shadow painting anime about a timid giraffe named Noop and his hedgehog companion named Harry as they travel their distant star world helping each other.,,Original,TV
Manul no Yuube,https://myanimelist.net/anime/38776/Manul_no_Yuube,"Nov 11, 2018",? eps,1 min ,['Slice of Life'],,"Within the nature ""Darwin Kita! Kikimono Shin Densetsu"" program on NHK1.5 airs the short Manul no Yuube, based on a web manga/comic of the same name. It following animal characters who visit the bar Manul no Yuube. The bar is run by the Mama who is a Pallas's cat (Otocolobus manul) and serviced by the hostess Tsunomin who is a Brazilian treehopper (Bocydium globulare).",,Web manga,TV
Saekomdalkom Catch! Tiniping,https://myanimelist.net/anime/56677/Saekomdalkom_Catch_Tiniping,"Sep 22, 2023",26 eps,0 min ,['Fantasy'],,"Puffping stole the Magic Sugar Ball! This has created a strange magical phenomenon where all the Dessert Teeniepings get sucked into a mirror which releases them on Earth for Romi to catch! Along with the Royal Dessert Teeniepings, Jellyping, Shashaping, and Fluffyping, Romi will have to accomplish her mission as fast as possible, otherwise, the Cake Castle will inevitably collapse!

(Source: Catch Teenieping Wiki)",,Original,TV
Chickip Dancers 3rd Season,https://myanimelist.net/anime/56504/Chickip_Dancers_3rd_Season,"Sep 25, 2023",? eps,5 min ,['Slice of Life'],,The third season of Chickip Dancers.,Fanworks,Original,TV
Shin Nippon History,https://myanimelist.net/anime/54871/Shin_Nippon_History,"Jan 6, 2020",? eps,23 min ,['Comedy'],,(No synopsis yet.),,Original,TV
Riseman,https://myanimelist.net/anime/56986/Riseman,"Oct 18, 2023",26 eps,0 min ,['Action'],,(No synopsis yet.),,Original,TV
Totonoe! Sakuma-kun by &sauna,https://myanimelist.net/anime/57077/Totonoe_Sakuma-kun_by__sauna,"Nov 12, 2023",? eps,2 min ,['Slice of Life'],,(No synopsis yet.),Kachidoki Studio,Original,TV
Shuwawan!,https://myanimelist.net/anime/57357/Shuwawan,"Mar 22, 2023",? eps,5 min ,['Slice of Life'],,"Shuwawan! chronicles the family life of real-life photographer and essayist Harumichi Saitou. Saitou and his wife are both deaf, his children are both hearing, and the family communicates in sign language. The anime draws on Saitou's own Ikuji Manga Nikki (Child-rearing Manga Diary) work.

(Source: ANN)",KOO-KI,Original,TV
Monsters: Ippyaku Sanjou Hiryuu Jigoku,https://myanimelist.net/anime/56055/Monsters__Ippyaku_Sanjou_Hiryuu_Jigoku,"Jan 22, 2024",1 ep,25 min ,['Fantasy'],,Based on the one-shot manga Monsters.,E&H Production,Manga,ONA
Great Pretender: Razbliuto,https://myanimelist.net/anime/57184/Great_Pretender__Razbliuto,"Feb 23, 2024",? eps,0 min ,"['Action', 'Adventure', 'Mystery']",,Sequel to Great Pretender.,Wit Studio,Original,ONA
Aishang Ta de Liyou Extra,https://myanimelist.net/anime/58143/Aishang_Ta_de_Liyou_Extra,"Feb 13, 2024",1 ep,10 min ,['Romance'],,(No synopsis yet.),,Web manga,ONA
Ensemble Stars!! Tsuioku Selection Checkmate,https://myanimelist.net/anime/56746/Ensemble_Stars_Tsuioku_Selection_Checkmate,"Mar 10, 2024",? eps,0 min ,[],,"New Ensemble Stars!! web animated series based on the game story ""Checkmate"".",DandeLion Animation Studio,Game,ONA
Wu Nao Monu 2nd Season,https://myanimelist.net/anime/57575/Wu_Nao_Monu_2nd_Season,"Jan 2, 2024",? eps,0 min ,"['Drama', 'Fantasy']",,(No synopsis yet.),,Web manga,ONA
Hanhua Riji 4th Season,https://myanimelist.net/anime/53449/Hanhua_Riji_4th_Season,"Mar 10, 2024",12 eps,0 min ,"['Comedy', 'Supernatural']",,Fourth season of Hanhua Riji.,L²Studio,Original,ONA
Yi Ren Zhi Xia: Xiu Tie Chong Xian,https://myanimelist.net/anime/58056/Yi_Ren_Zhi_Xia__Xiu_Tie_Chong_Xian,"Feb 15, 2024",1 ep,70 min ,"['Action', 'Supernatural']",,(No synopsis yet.),,Manga,ONA
Kui Cheng Shoufu Cong Youxi Kaishi,https://myanimelist.net/anime/57663/Kui_Cheng_Shoufu_Cong_Youxi_Kaishi,"Feb 3, 2024",? eps,0 min ,"['Comedy', 'Fantasy']",,"Pei Qian, an ordinary migrant worker, was accidentally bound to the wealth conversion system, which gave him a good opportunity to spend money in business and start his life over again. However, the system stipulates that you can only earn one yuan if you make a profit of 100 yuan, but all the money you lose can go into your own pocket. In order to lose money, Pei Qian chose the high-risk, money-burning game industry, and deliberately produced ""alternative"" games that went against the rules of the market. However, he unexpectedly became popular time and time again, earning a lot of money, and painfully became Pei Qian is the ""business wizard"" admired by everyone, but only Pei Qian understands that I really just want to lose money...

(Source: Bilibili, Google translated)",Foch Films,Web novel,ONA
Yubisaki to Renren Mini Anime,https://myanimelist.net/anime/57782/Yubisaki_to_Renren_Mini_Anime,"Jan 7, 2024",? eps,1 min ,['Comedy'],,(No synopsis yet.),AQUA ARIS,Manga,ONA
Wangzhe Rongyao: Rongyao Zhi Zhang,https://myanimelist.net/anime/57699/Wangzhe_Rongyao__Rongyao_Zhi_Zhang,"Jan 13, 2024",4 eps,26 min ,"['Action', 'Adventure', 'Fantasy']",,(No synopsis yet.),,Game,ONA
Bai Yao Pu 4th Season,https://myanimelist.net/anime/57995/Bai_Yao_Pu_4th_Season,"Feb 23, 2024",? eps,0 min ,"['Adventure', 'Fantasy', 'Mystery', 'Supernatural']",,Fourth season of Bai Yao Pu.,,Novel,ONA
